"","fineff.theta_hat","fineff.theta_ci_low","fineff.theta_ci_high","soc_eff.theta_hat","soc_eff.theta_ci_low","soc_eff.theta_ci_high","finsoc_eff.theta_hat","finsoc_eff.theta_ci_low","finsoc_eff.theta_ci_high"
"1882",0.14988323727604,0.13903342692243,0.151587564760404,0.75115,0.750325166098675,0.751438691152915,0.75115,0.748274465302464,0.75076303148269
"1883",0.144229916589632,0.137730377410508,0.144668201779712,0.879,0.878179266580536,0.879251335863283,0.879,0.877545647533502,0.878789292499368
"1884",0.113543799567272,0.111188635704968,0.11239215476603,0.85015,0.849840835264245,0.850118252226369,0.85015,0.849821685704586,0.8500940167236
"1885",0.121699123302037,0.119081400562086,0.120411452465805,0.85015,0.84978004644608,0.850092482355155,0.85015,0.849723766478921,0.850084619226691
"1886",0.129129644775046,0.126375286096223,0.127836002296349,0.84995,0.849600261185668,0.849917255573824,0.84995,0.849516264250497,0.849896479048604
"1887",0.125753366876252,0.123113791829332,0.124451532125195,0.9249,0.924523010369772,0.924844986345576,0.9249,0.924492450273313,0.924820136903159
"1888",0.131335958166106,0.128543787095133,0.130044737277467,0.7699,0.769582079480243,0.769876618105124,0.7699,0.769358212162797,0.769875010208032
"1889",0.120238586407461,0.102943618652701,0.122039741834948,0.5504,0.546585024028358,0.549770122423372,0.552188773529369,0.547751360892551,0.553061914022844
"1890",0.110817077463657,0.104208780061275,0.110877171641749,0.5901,0.589312960353733,0.590268810186553,0.59065099367238,0.589146672526113,0.590453978647766
"1891",0.111828973503251,0.0556381814210462,0.147551696484462,0.632713136866954,0.61872996167768,0.644116444048001,0.632798231169483,0.622655498001393,0.640214500380768
"1892",0.113556118601526,0.108043938633738,0.112728762849825,0.8294,0.829115841516969,0.829314190345373,0.8294,0.829016637517106,0.82933275190788
"1893",0.0952723054319759,0.0849114604372755,0.0932010186703525,0.7754,0.775145440128684,0.775318494322939,0.7754,0.775081295907243,0.775340261909371
